name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT2G20560	AT2G20560	E	12.0263013238113	-1.03897673724423	-0.0863920426795834	1.34245447029437	-21.5980106698959	NA	0.957665913669043
AT2G23270	AT2G23270	L	0.507306710427336	0.422012976627567	0.831869494239647	-1.71944878748018	207.967373559912	NA	0.872802952694075
AT2G25250	AT2G25250	L	21.6358664246446	0.833441105834875	0.0385212724777009	2.98196599152337	9.63031811942523	0.403760692773935	0.817010755786371
AT2G26140	FTSH4	L	20.0959282579752	-0.0494350575004127	-0.00245995392030692	-3.46424106330271	-0.61498848007673	0.0253867278801348	0.815205656033927
AT2G29980	FAD3	E	43.5565312685583	5.25222729608941	0.120584149910964	4.99999239704321	30.1460374777409	0.680703923729246	0.837304645461044
AT2G30480	AT2G30480	L	1.67235076629947	-0.157952969613983	-0.0944496649847552	4.99998668117411	-23.6124162461888	-0.922072281062174	0.846967670713532
AT2G30695	AT2G30695	E	9.77424790104224	0.951110324228468	0.0973077758880097	1.12743286057916	24.3269439720024	1.65888728913228	0.851353594154628
AT2G32120	HSP70-8	E	2.72322154845945	-0.210374139542404	-0.0772519370160734	1.38862158206237	-19.3129842540184	NA	0.879586056835896
AT2G32450	AT2G32450	E	3.93814886285242	-0.164466587395503	-0.0417624099857869	3.07853347256974	-10.4406024964467	-0.597587962655662	0.812396348228102
AT2G35730	AT2G35730	L	2.94286658680893	2.4816868489205e-07	8.43288941484599e-08	-17.1761000410474	2.1082223537115e-05	-1.77078738122615e-07	0.922773774375222
AT2G36040	AT2G36040	E	0.250026112865971	1.05185116272821	4.20696522723632	4.99999347657812	1051.74130680908	4.46171540493264	0.875840578141362
AT2G36885	AT2G36885	L	4.09616018763478	0.00149659460025584	0.000365365252260803	-6.02015166487379	0.0913413130652008	-0.00219060479546933	0.850811602463647
AT2G36930	AT2G36930	E	33.5104264865186	4.16408642693618	0.124262412136456	3.27249232173538	31.065603034114	0.96295237316762	0.81478660513382
AT2G40630	AT2G40630	E	4.18649223964195	-0.174075929560138	-0.0415803779383157	1.68281326823332	-10.3950944845789	-1.38730293809119	0.875665298748069
AT2G41480	PER25	L	3.81090899772488	0.00912421426413742	0.00239423567174776	-4.44359432434395	0.59855891793694	-0.0195653940201973	0.896505523970742
AT2G41880	GK-1	L	2.91547772485676	0.180632175063863	0.0619562871373808	1.32802339762038	15.4890717843452	1.11524984259778	0.807557120453628
AT2G41980	SINAT1	E	9.87114511681258	-0.561635556528937	-0.0568966973823895	3.78546169529882	-14.2241743455974	-0.679822617995938	0.893376915834085
AT2G43390	AT2G43390	L	1.16288185078247	0.0187459507521056	0.0161202539531355	-2.90686060979777	4.03006348828388	-0.215311301424933	0.819062726122348
AT2G44130	KMD3	L	11.358170784299	0.112211421882868	0.00987935680963556	-4.53030610587669	2.46983920240889	-0.080878335411361	0.842197373081731
AT2G45880	BAM7	E	3.28266529187472	-0.0907631692776656	-0.0276492304903346	0.194184303925724	-6.91230762258365	NA	0.803884119412955
AT2G46970	PIL1	E	1.35933545063293	-0.178701172570924	-0.131462158577354	4.80836290035762	-32.8655396443384	-1.65975854538179	0.804166795263816
AT3G01490	AT3G01490	L	8.48517757507978	-0.201283904898934	-0.0237218258684517	1.26725551264483	-5.93045646711292	-0.910437795741609	0.805119326335579
AT3G03570	AT3G03570	E	8.5600422913803	-0.274787041292011	-0.0321011312722968	0.270815125116882	-8.02528281807419	NA	0.845804446706231
AT3G03670	PER28	L	0.973721303070246	0.00351169141653662	0.00360646460693002	-6.39599956701669	0.901616151732506	-0.0204817452008478	0.971377898067262
AT3G04710	TPR10	E	16.8870548157838	-0.832245846937226	-0.0492830665865638	0.912028500599648	-12.320766646641	NA	0.961920045604964
AT3G05937	AT3G05937	L	9.63785152412515	0.713230710091202	0.0740030813201331	1.54282230923886	18.5007703300333	1.13694671736245	0.888389003912622
AT3G07410	RABA5B	L	18.2050918894009	0.155518658770982	0.00854259125500632	-1.81013050159086	2.13564781375158	-0.181121771850194	0.876958671542355
AT3G07600	AT3G07600	L	2.29504259293184	0.272522633783249	0.118744041885127	-0.0711323108309982	29.6860104712817	NA	0.869395674977611
