name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
AT1G29025	AT1G29025	L	4.04780735082976	0.0648629925905325	0.0160242291613103	-2.23361170623437	4.00605729032758	-0.285166917431978	0.808517074159546
AT1G29071	SNOR105	L	0.00173459667427493	23.9585233796056	13812.1580278138	-0.320696731468075	3453039.50695344	NA	0.828870592921577
AT1G29150	RPN6	L	77.5372591535471	-1.32230518517053	-0.0170538035469112	1.15959982588414	-4.2634508867278	-0.661240630194955	0.868913149036244
AT1G29340	PUB17	L	8.70773547301018	-0.178156773765076	-0.0204595987461122	0.958340792819824	-5.11489968652805	-1.10074549464367	0.841584813156426
AT1G30070	AT1G30070	L	13.742402675861	-0.758751633643141	-0.055212443670852	4.10954200547733	-13.803110917713	-0.590483156638863	0.843735006288748
AT1G30440	AT1G30440	L	8.57918330302723	-0.0795339191810363	-0.00927056997989216	-0.575174401591269	-2.31764249497304	0.488459524896982	0.809110399831121
AT1G31540	AT1G31540	L	1.67719862977507	-0.0187512121900328	-0.0111800784100018	-0.889674591443545	-2.79501960250044	0.394143145094147	0.842800467925138
AT1G32100	PRR1	L	9.73351908371162	0.0300568477063681	0.0030879733678918	-3.45446286340636	0.771993341972951	-0.0326066446943187	0.836136399243328
AT1G32928	AT1G32928	L	10.7765215004234	0.173265643464962	0.0160780678123412	-2.38788438988408	4.01951695308531	-0.265916260607541	0.814006352967486
AT1G33360	AT1G33360	L	4.030520027348	0.000232209712392952	5.76128417220001e-05	-8.24358279287905	0.0144032104305	-0.000252090095888023	0.820884683441056
AT1G33475	AT1G33475	E	1.40031526018978	-0.109159409368561	-0.0779534526773404	1.55444292834932	-19.4883631693351	NA	0.843837025022865
AT1G33930	AT1G33930	L	2.398418208999	-0.138547397651593	-0.0577661548481227	4.99999397770819	-14.4415387120307	-0.491735904463784	0.834235267592359
AT1G48370	YSL8	E	1.44879724247459	-0.0314370031667461	-0.0216986906415218	0.380960756305043	-5.42467266038046	NA	0.801081119293386
AT1G48480	RKL1	L	9.21958034242886	-0.0722479155604439	-0.0078363561981185	-1.54672095918581	-1.95908904952963	0.172053225962979	0.8667184797768
AT1G48760	DELTA-ADR	L	24.7398343666589	0.143413665773735	0.00579687251128121	-3.63134331866119	1.4492181278203	-0.0587563327178971	0.852801347665694
AT1G50060	AT1G50060	L	3.96579132354716	0.194512136870463	0.0490474967040079	-1.04310193420555	12.261874176002	NA	0.812431620806373
AT1G50410	AT1G50410	E	1.49976587058877	0.132251227370923	0.088181248796524	4.73625943989172	22.045312199131	0.551351906506499	0.830391157870639
AT1G50600	SCL5	L	11.8351863791488	-0.636207651790312	-0.0537556090296291	4.97121629096349	-13.4389022574073	-0.454692437438681	0.820981201682854
AT1G50640	ERF3	E	28.5589710305571	-0.773707630652608	-0.0270915793788497	1.15703847764406	-6.77289484471243	-1.27008515865896	0.806557784022048
AT1G51540	AT1G51540	L	6.43015772105771	-0.21750877656546	-0.0338263517010096	4.99999518295832	-8.4565879252524	-0.267308664254556	0.824155192838222
