source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
TINY	PLP7	L	5.7278	1.0255	0.179	1.6452	44.7617	1.8956	0.948
TINY	MYB51	E	3.4993	0.6281	0.1795	0.934	44.875	2.5373	0.939
TINY	SAUR35	L	0.8184	0.1473	0.18	4.323	44.9985	1.0292	0.8208
TINY	AT1G53340	L	0.6957	0.1263	0.1815	5	45.3822	0.9318	0.8704
TINY	ARF18	L	1.7977	0.3278	0.1823	3.8249	45.5851	1.1321	0.8527
TINY	RUP1	E	1.4385	0.2658	0.1848	0.7091	46.2	2.9098	0.83
TINY	CCX2	L	1.1534	0.2134	0.185	2.6061	46.255	1.4724	0.8382
TINY	ERD6	L	49.4081	9.2325	0.1869	3.9222	46.7154	1.1316	0.8741
TINY	AT3G19680	E	9.7711	1.8344	0.1877	1.1441	46.9335	2.3511	0.9041
TINY	AT1G68470	L	2.6783	0.511	0.1908	1.7977	47.6944	1.8691	0.9329
TINY	AT3G47200	E	1.5591	0.299	0.1918	5	47.9455	0.9701	0.8307
TINY	AT3G17640	L	5.6124	1.0813	0.1927	1.3592	48.1641	2.1838	0.9213
TINY	AT1G03730	L	7.0955	1.3767	0.194	5	48.5048	0.9783	0.9012
TINY	WAKL21	L	2.0164	0.3998	0.1983	5	49.5692	0.9938	0.8335
TINY	AT4G35320	L	20.6289	4.0921	0.1984	2.0284	49.5913	1.7845	0.905
TINY	AT4G06534	L	2.001	0.3974	0.1986	5	49.6451	0.9949	0.8154
TINY	SPL16	L	2.7544	0.5531	0.2008	1.1898	50.1999	2.3839	0.9244
TINY	GATL2	L	4.9511	0.9944	0.2008	3.9656	50.2101	1.1802	0.9086
TINY	MAPKKK16	L	1.0797	0.2181	0.202	1.816	50.4882	1.9184	0.9372
TINY	EDS5	L	6.6516	1.355	0.2037	5	50.9287	1.0133	0.8229
TINY	PYL7	L	9.2791	1.905	0.2053	5	51.3254	1.019	0.8327
TINY	PUMP5	L	11.7807	2.4244	0.2058	3.2736	51.4481	1.3627	0.8972
TINY	AT4G29950	L	4.5428	0.9418	0.2073	5	51.8305	1.0262	0.8008
TINY	BAP1	E	2.4228	0.5095	0.2103	0.822	52.57	2.8866	0.8371
TINY	TET8	E	23.6172	4.9839	0.211	3.3263	52.7566	1.3708	0.8235
TINY	AT4G12000	L	6.1699	1.3123	0.2127	3.8956	53.1734	1.2418	0.9094
TINY	RAP2-10	L	14.3805	3.0683	0.2134	5	53.3407	1.0474	0.876
TINY	BBX20	L	3.0456	0.6554	0.2152	5	53.7992	1.0538	0.8704
TINY	AT1G33260	L	3.3296	0.7335	0.2203	4.0743	55.0709	1.2337	0.8886
TINY	DREB2A	E	0.657	0.1479	0.2251	1.331	56.2627	2.386	0.8316
TINY	PUB22	L	1.599	0.3602	0.2253	5	56.314	1.0883	0.8077
TINY	AT3G54150	L	1.6574	0.3772	0.2276	5	56.8999	1.0963	0.8257
TINY	HSPRO2	E	4.0718	0.94	0.2309	1.0243	57.7147	2.73	0.8436
TINY	AT5G21280	L	5.5127	1.2869	0.2334	1.9821	58.3616	1.9798	0.8355
TINY	GATA2	L	13.8492	3.235	0.2336	5	58.3974	1.1163	0.9091
TINY	AT3G55720	L	1.0018	0.2398	0.2394	5	59.8433	1.1354	0.8458
TINY	ATGT18	L	21.5552	5.2498	0.2436	5	60.8879	1.1491	0.9382
TINY	RAP2-1	L	14.1411	3.4484	0.2439	4.7277	60.964	1.195	0.9342
TINY	CML45	E	2.5969	0.6369	0.2452	0.9856	61.3117	2.8522	0.975
