ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT5G38470	0.042	0.028	0.057	0.007	16.384	6.235	9.0606e-06	RAD23D
AT5G38480	0.05	0.033	0.068	0.008	13.739	5.952	1.5755e-05	GRF3
AT5G38510	0.167	0.093	0.241	0.035	4.144	4.761	0.00018113	AT5G38510
AT5G38520	0.106	0.063	0.149	0.02	6.521	5.214	7.025e-05	AT5G38520
AT5G38530	0.266	0.205	0.327	0.029	2.607	9.244	4.8346e-08	TSBtype2
AT5G38560	0.323	0.211	0.435	0.053	2.145	6.082	1.2217e-05	PERK8
AT5G38630	0.07	0.052	0.088	0.008	9.884	8.253	2.3843e-07	CYB561B
AT5G38650	0.04	0.025	0.055	0.007	17.48	5.561	3.4506e-05	AT5G38650
AT5G38660	0.065	0.046	0.084	0.009	10.705	7.278	1.2898e-06	APE1
AT5G38690	0.303	0.247	0.359	0.027	2.289	11.38	2.2569e-09	AT5G38690
AT5G38710	0.31	0.248	0.373	0.03	2.234	10.448	8.1165e-09	POX2
AT5G38720	0.368	0.257	0.48	0.053	1.882	6.952	2.3376e-06	AT5G38720
AT5G38730	0.528	0.402	0.654	0.06	1.313	8.852	8.9616e-08	AT5G38730
AT5G38820	0.146	0.088	0.204	0.027	4.749	5.331	5.5128e-05	AT5G38820
AT5G38830	0.166	0.085	0.246	0.038	4.183	4.346	0.00043944	AT5G38830
AT5G38840	0.47	0.351	0.59	0.057	1.474	8.307	2.179e-07	AT5G38840
AT5G38880	0.27	0.186	0.354	0.04	2.567	6.795	3.1246e-06	AT5G38880
AT5G38890	0.598	0.39	0.806	0.099	1.159	6.053	1.2924e-05	AT5G38890
AT5G38895	0.078	0.051	0.105	0.013	8.857	6.18	1.322e-05	AT5G38895
AT5G38900	0.074	0.049	0.098	0.012	9.389	6.362	7.0949e-06	AT5G38900
AT5G38980	0.107	0.071	0.144	0.017	6.471	6.202	9.6572e-06	AT5G38980
AT5G39040	0.18	0.129	0.232	0.024	3.843	7.381	1.0742e-06	ABCB27
AT5G39050	0.389	0.284	0.494	0.05	1.78	7.829	4.889e-07	PMAT1
AT5G39250	0.59	0.455	0.726	0.064	1.174	9.192	5.2448e-08	AT5G39250
AT5G39320	0.125	0.096	0.155	0.014	5.537	8.946	7.7174e-08	UGD4
AT5G39340	0.088	0.073	0.103	0.007	7.886	12.233	7.4899e-10	AHP3
AT5G39360	0.197	0.138	0.255	0.028	3.526	7.118	1.7235e-06	EDL2
AT5G39410	0.087	0.063	0.11	0.011	8	7.836	4.83e-07	AT5G39410
AT5G39500	0.424	0.321	0.527	0.049	1.635	8.675	1.1915e-07	GNL1
AT5G39510	0.085	0.063	0.108	0.011	8.123	7.931	4.1068e-07	VTI11
AT5G39570	0.051	0.036	0.066	0.007	13.542	7.159	1.5994e-06	AT5G39570
AT5G39590	0.097	0.074	0.12	0.011	7.139	8.816	9.5e-08	AT5G39590
AT5G39600	0.074	0.058	0.09	0.008	9.385	9.598	2.8157e-08	AT5G39600
AT5G39610	0.237	0.148	0.327	0.042	2.922	5.596	3.2153e-05	ATNAC2
AT5G39660	0.132	0.05	0.214	0.039	5.236	3.424	0.0034796	CDF2
AT5G39680	0.757	0.522	0.992	0.111	0.916	6.8	3.0938e-06	EMB2744
AT5G39710	0.439	0.319	0.559	0.057	1.579	7.728	5.8231e-07	EMB2745
AT5G39720	0.056	0.019	0.093	0.018	12.36	3.186	0.0057419	AIG2L
AT5G39730	0.072	0.044	0.1	0.013	9.632	5.42	4.5937e-05	AT5G39730
AT5G39740	0.102	0.076	0.128	0.012	6.784	8.255	2.3752e-07	RPL5B
AT5G39760	0.221	0.138	0.303	0.039	3.142	5.656	2.849e-05	ZHD10
AT5G39790	0.105	0.051	0.16	0.026	6.574	4.051	0.00082971	AT5G39790
AT5G39830	0.121	0.092	0.149	0.013	5.746	8.988	7.2181e-08	DEGP8
AT5G39840	0.498	0.369	0.628	0.061	1.391	8.106	3.0485e-07	AT5G39840
AT5G39850	0.144	0.095	0.193	0.023	4.824	6.21	9.5134e-06	RPS9C
AT5G39890	0.479	0.363	0.594	0.055	1.448	8.757	1.0432e-07	PCO2
AT5G39900	1.295	0.881	1.709	0.196	0.535	6.593	4.5672e-06	AT5G39900
AT5G39940	0.223	0.14	0.307	0.04	3.102	5.648	2.8945e-05	AT5G39940
AT5G39950	0.047	0.035	0.058	0.005	14.853	8.76	1.0391e-07	TRX2
AT5G39960	0.401	0.29	0.512	0.053	1.727	7.628	6.938e-07	AT5G39960
AT5G39990	0.625	0.472	0.777	0.072	1.109	8.656	1.2285e-07	AT5G39990
AT5G40040	0.19	0.124	0.256	0.031	3.652	6.043	1.3185e-05	RPP2E
AT5G40060	0.277	0.135	0.419	0.067	2.503	4.105	0.0007389	AT5G40060
AT5G40150	0.828	0.606	1.05	0.105	0.837	7.864	4.6058e-07	PER63
AT5G40160	0.108	0.056	0.16	0.025	6.436	4.353	0.00043253	EMB506
AT5G40170	0.347	0.237	0.456	0.052	2	6.679	3.8818e-06	AtRLP54
AT5G40190	0.189	0.13	0.249	0.028	3.66	6.714	3.637e-06	AT5G40190
AT5G40200	0.155	0.118	0.191	0.017	4.48	8.88	8.5681e-08	DEGP9
AT5G40210	0.239	0.131	0.347	0.051	2.903	4.671	0.00021913	AT5G40210
AT5G40230	0.124	0.077	0.171	0.022	5.6	5.581	3.3091e-05	AT5G40230
AT5G40250	0.611	0.359	0.864	0.12	1.134	5.112	8.6671e-05	ATL46
AT5G40260	0.221	0.13	0.313	0.043	3.13	5.094	9.0108e-05	SWEET8
AT5G40270	0.067	0.05	0.083	0.008	10.384	8.503	1.5763e-07	AT5G40270
AT5G40280	0.085	0.066	0.104	0.009	8.132	9.555	3e-08	FTB
AT5G40300	0.222	0.152	0.291	0.033	3.127	6.703	3.7118e-06	AT5G40300
AT5G40340	0.605	0.447	0.763	0.075	1.145	8.066	3.2618e-07	AT5G40340
AT5G40370	0.029	0.018	0.04	0.005	24.201	5.518	3.7635e-05	GRXC2
AT5G40390	0.744	0.495	0.993	0.118	0.931	6.312	7.8091e-06	RFS5
AT5G40430	0.346	0.233	0.459	0.054	2.003	6.45	5.9834e-06	MYB22
AT5G40440	0.323	0.204	0.442	0.056	2.149	5.715	2.5265e-05	MKK3
AT5G40450	0.152	0.112	0.193	0.019	4.546	7.996	3.6723e-07	AT5G40450
AT5G40460	1.498	1.002	1.994	0.235	0.463	6.375	6.9105e-06	AT5G40460
AT5G40490	0.115	0.068	0.162	0.022	6.017	5.149	8.0389e-05	AT5G40490
AT5G40500	0.157	0.126	0.187	0.014	4.421	10.872	4.4851e-09	AT5G40500
AT5G40520	0.69	0.575	0.806	0.055	1.004	12.596	4.7771e-10	AT5G40520
AT5G40530	0.329	0.236	0.423	0.044	2.106	7.418	1.0041e-06	AT5G40530
AT5G40540	0.346	0.195	0.497	0.072	2.003	4.83	0.00015656	AT5G40540
AT5G40550	0.142	0.103	0.181	0.018	4.872	7.696	6.1579e-07	AT5G40550
AT5G40580	0.046	0.03	0.062	0.008	15.094	5.932	1.6388e-05	PBB2
AT5G40600	0.656	0.477	0.835	0.085	1.056	7.731	5.7954e-07	AT5G40600
AT5G40610	0.168	0.127	0.21	0.02	4.121	8.52	1.5314e-07	DHAPRD
AT5G40650	0.075	0.061	0.089	0.007	9.27	11.143	3.099e-09	SDH2-2
AT5G40660	0.37	0.253	0.488	0.056	1.871	6.672	3.9327e-06	AT5G40660
AT5G40670	0.059	0.042	0.076	0.008	11.722	7.35	1.1333e-06	AT5G40670
AT5G40690	0.032	-0.009	0.073	0.019	21.785	1.651	0.11824	AT5G40690
AT5G40710	0.229	0.176	0.282	0.025	3.028	9.161	5.5063e-08	AT5G40710
AT5G40730	0.052	0.035	0.07	0.008	13.206	6.493	5.5139e-06	AGP24
AT5G40740	0.182	0.113	0.25	0.032	3.811	5.6	3.1868e-05	AT5G40740
AT5G40760	0.124	0.082	0.166	0.02	5.58	6.275	8.3898e-06	ACG12
AT5G40770	0.068	0.053	0.083	0.007	10.2	9.503	3.2499e-08	PHB3
AT5G40780	0.127	0.104	0.15	0.011	5.441	11.74	1.4063e-09	LHT1
AT5G40810	0.104	0.076	0.132	0.013	6.65	7.91	4.2566e-07	CYC12
AT5G40820	0.073	0.048	0.099	0.012	9.446	6.053	1.2915e-05	ATR
AT5G40830	1.081	0.885	1.278	0.093	0.641	11.611	1.6635e-09	AT5G40830
AT5G40840	0.34	0.297	0.384	0.021	2.038	16.54	6.501e-12	SYN2
AT5G40850	0.107	0.041	0.173	0.031	6.456	3.446	0.0033221	UPM1
AT5G40870	0.119	0.093	0.145	0.012	5.835	9.595	2.8264e-08	UKL1
AT5G40890	0.168	0.089	0.247	0.038	4.124	4.48	0.00032922	CLC-A
AT5G40920	0.816	0.597	1.035	0.104	0.85	7.862	4.6256e-07	AT5G40920
AT5G40930	0.206	0.145	0.268	0.029	3.358	7.077	1.8577e-06	TOM20-4
AT5G40950	0.095	0.062	0.127	0.015	7.32	6.112	1.1513e-05	RPL27
AT5G40970	0.082	0.063	0.101	0.009	8.445	9.229	4.9487e-08	AT5G40970
AT5G41010	0.079	0.055	0.103	0.011	8.801	6.967	2.2735e-06	NRPB12
AT5G41060	0.101	0.064	0.139	0.018	6.835	5.679	2.7189e-05	PAT06
AT5G41080	0.232	0.088	0.376	0.068	2.983	3.423	0.0034835	GDPD2
AT5G41100	0.291	0.217	0.365	0.035	2.381	8.313	2.1564e-07	AT5G41100
AT5G41150	0.324	0.194	0.454	0.062	2.137	5.262	6.3515e-05	UVH1
AT5G41180	0.379	0.257	0.501	0.058	1.83	6.558	4.88e-06	AT5G41180
AT5G41190	0.235	0.16	0.309	0.035	2.955	6.68	3.8744e-06	AT5G41190
AT5G41210	0.045	0.027	0.063	0.009	15.264	5.337	5.4446e-05	GSTT1
AT5G41260	0.108	0.072	0.143	0.017	6.447	6.406	6.5125e-06	AT5G41260
AT5G41270	0.276	0.206	0.346	0.033	2.508	8.324	2.1177e-07	AT5G41270
AT5G41330	0.207	0.161	0.254	0.022	3.341	9.355	4.0742e-08	AT5G41330
AT5G41340	0.037	0.027	0.047	0.005	18.734	7.725	5.8551e-07	UBC4
AT5G41350	0.145	0.109	0.182	0.017	4.773	8.402	1.859e-07	AT5G41350
AT5G41400	0.727	0.595	0.86	0.063	0.953	11.575	1.7425e-09	AT5G41400
AT5G41410	1.198	0.975	1.421	0.106	0.579	11.352	2.3412e-09	BEL1
AT5G41480	0.246	0.168	0.324	0.037	2.819	6.661	4.0178e-06	EMB9
AT5G41520	0.044	0.028	0.059	0.007	15.812	5.907	1.7248e-05	RPS10B
AT5G41560	0.067	0.05	0.084	0.008	10.385	8.348	2.0357e-07	AT5G41560
AT5G41580	0.418	0.313	0.523	0.05	1.658	8.428	1.782e-07	AT5G41580
AT5G41600	0.068	0.049	0.088	0.009	10.164	7.447	9.55e-07	RTNLB4
AT5G41610	0.456	0.336	0.577	0.057	1.519	7.991	3.7068e-07	CHX18
AT5G41660	0.304	0.167	0.44	0.065	2.284	4.681	0.00021447	AT5G41660
AT5G41670	0.15	0.114	0.185	0.017	4.632	8.918	8.0655e-08	AT5G41670
AT5G41700	0.038	0.028	0.048	0.005	18.162	8.139	2.8863e-07	UBC8
AT5G41760	0.068	0.049	0.088	0.009	10.141	7.349	1.1365e-06	AT5G41760
AT5G41770	0.207	0.151	0.264	0.027	3.342	7.738	5.7223e-07	AT5G41770
AT5G41790	0.161	0.126	0.197	0.017	4.3	9.6	2.8077e-08	CIP1
AT5G41820	0.559	0.224	0.893	0.159	1.241	3.519	0.0026315	RGTA2
AT5G41880	0.194	0.142	0.246	0.024	3.574	7.931	4.1052e-07	POLA3
AT5G41940	0.154	0.102	0.206	0.025	4.491	6.268	8.4988e-06	AT5G41940
AT5G41940	0.153	0.115	0.19	0.018	4.543	8.572	1.408e-07	AT5G41940
AT5G41950	0.092	0.072	0.112	0.009	7.542	9.704	2.4e-08	AT5G41950
AT5G41960	0.073	0.059	0.088	0.007	9.437	10.654	6.0713e-09	AT5G41960
AT5G41970	0.098	0.072	0.124	0.012	7.074	8.053	3.3371e-07	AT5G41970
AT5G41990	0.203	0.145	0.26	0.027	3.419	7.44	9.6709e-07	WNK8
AT5G42000	0.056	0.042	0.071	0.007	12.304	8.249	2.4e-07	AT5G42000
AT5G42030	0.163	0.103	0.222	0.028	4.264	5.775	2.2407e-05	ABIL4
AT5G42050	0.217	0.165	0.269	0.025	3.189	8.798	9.7754e-08	AT5G42050
AT5G42060	0.447	0.279	0.615	0.08	1.551	5.619	3.0677e-05	AT5G42060
AT5G42070	0.127	0.077	0.177	0.024	5.474	5.336	5.4562e-05	AT5G42070
AT5G42080	0.093	0.065	0.12	0.013	7.491	7.085	1.8287e-06	DRP1A
AT5G42090	0.088	0.064	0.112	0.011	7.914	7.685	6.2756e-07	AT5G42090
AT5G42100	0.1	0.07	0.131	0.014	6.912	6.975	2.239e-06	ATBG_PPAP
AT5G42130	1.202	0.982	1.421	0.104	0.577	11.553	1.7945e-09	MFL1
AT5G42140	0.208	0.141	0.274	0.032	3.336	6.582	4.6613e-06	AT5G42140
AT5G42150	0.078	0.06	0.096	0.008	8.886	9.266	4.6758e-08	AT5G42150
AT5G42190	0.025	0.013	0.037	0.006	27.217	4.472	0.00033554	SKP1B
AT5G42200	0.273	0.198	0.347	0.035	2.541	7.739	5.7158e-07	ATL23
AT5G42220	0.099	0.075	0.123	0.011	7.008	8.669	1.2027e-07	AT5G42220
AT5G42240	0.109	0.082	0.137	0.013	6.337	8.427	1.7858e-07	SCPL42
AT5G42270	0.099	0.075	0.123	0.011	7.003	8.715	1.1163e-07	FTSH5
AT5G42280	0.302	0.184	0.42	0.056	2.296	5.407	4.7222e-05	AT5G42280
AT5G42300	0.03	0.02	0.04	0.005	22.974	6.337	7.4379e-06	UBL5
AT5G42310	0.395	0.306	0.483	0.042	1.756	9.395	3.8323e-08	AT5G42310
AT5G42320	0.278	0.177	0.38	0.048	2.49	5.788	2.1823e-05	AT5G42320
AT5G42370	0.281	0.183	0.379	0.047	2.465	6.042	1.321e-05	AT5G42370
AT5G42390	0.123	0.099	0.148	0.012	5.615	10.669	5.9399e-09	AT5G42390
AT5G42400	0.288	0.161	0.416	0.06	2.403	4.77	0.00017761	ATXR7
AT5G42420	0.173	0.13	0.217	0.021	4.001	8.388	1.903e-07	AT5G42420
AT5G42470	0.065	0.045	0.085	0.01	10.655	6.78	3.2113e-06	AT5G42470
AT5G42480	0.179	0.122	0.236	0.027	3.873	6.583	4.6469e-06	ARC6
AT5G42520	0.191	0.157	0.226	0.016	3.62	11.84	1.2355e-09	BPC6
AT5G42540	0.143	0.114	0.173	0.014	4.831	10.295	1.009e-08	XRN2
AT5G42560	0.086	0.067	0.104	0.009	8.082	9.691	2.4465e-08	HVA22I
AT5G42570	0.109	0.078	0.141	0.015	6.334	7.42	1.0005e-06	AT5G42570
AT5G42620	0.57	0.398	0.743	0.082	1.215	6.988	2.1865e-06	AT5G42620
AT5G42660	0.177	0.121	0.233	0.026	3.921	6.686	3.8337e-06	AT5G42660
AT5G42670	0.089	0.059	0.119	0.014	7.81	6.228	9.1762e-06	AT5G42670
AT5G42720	0.189	0.134	0.244	0.026	3.667	7.265	1.3221e-06	AT5G42720
AT5G42740	0.093	0.067	0.119	0.012	7.43	7.62	7.0334e-07	PGIC
AT5G42765	0.109	0.07	0.149	0.019	6.339	5.882	1.8094e-05	AT5G42765
AT5G42790	0.062	0.043	0.081	0.009	11.186	6.889	2.6256e-06	PAF1
AT5G42810	0.117	0.087	0.147	0.014	5.917	8.176	2.7109e-07	IPK1
AT5G42820	0.202	0.146	0.258	0.027	3.438	7.59	7.42e-07	U2AF35B
AT5G42830	0.129	-0.003	0.262	0.063	5.353	2.068	0.055248	AT5G42830
AT5G42840	1.398	0.556	2.24	0.399	0.496	3.503	0.0027268	AT5G42840
AT5G42850	0.04	0.03	0.05	0.005	17.252	8.23	2.477e-07	AT5G42850
AT5G42860	0.264	0.191	0.337	0.035	2.625	7.612	7.1279e-07	AT5G42860
AT5G42870	0.303	0.228	0.379	0.036	2.284	8.459	1.6928e-07	PAH2
AT5G42890	0.032	0.022	0.043	0.005	21.398	6.43	6.2267e-06	ATSCP2
AT5G42900	0.06	0.041	0.079	0.009	11.548	6.724	3.5683e-06	COR27
AT5G42920	0.181	0.138	0.225	0.021	3.824	8.821	9.4163e-08	THO5B
AT5G42940	0.319	0.258	0.38	0.029	2.172	11.024	3.6433e-09	AT5G42940
AT5G42950	0.347	0.281	0.413	0.031	1.998	11.159	3e-09	AT5G42950
AT5G42960	0.104	0.083	0.124	0.01	6.687	10.835	4.7226e-09	OEP24B
AT5G42970	0.313	0.228	0.399	0.041	2.213	7.712	5.9882e-07	CSN4
AT5G42980	0.031	0.021	0.04	0.004	22.702	7.092	1.8072e-06	TRX3
AT5G42990	0.033	0.017	0.049	0.008	21.215	4.29	0.00049583	UBC18
AT5G43010	0.124	0.094	0.153	0.014	5.602	8.85	9e-08	RPT4A
AT5G43060	0.064	0.045	0.082	0.009	10.897	7.134	1.6737e-06	AT5G43060
AT5G43070	0.158	0.087	0.23	0.034	4.386	4.664	0.00022239	WPP1
AT5G43080	0.816	0.655	0.977	0.076	0.85	10.707	5.6385e-09	CYCA3-1
AT5G43100	0.067	0.043	0.09	0.011	10.401	6.056	1.2836e-05	AT5G43100
AT5G43110	0.269	0.192	0.345	0.036	2.58	7.405	1.0291e-06	APUM14
AT5G43130	0.127	0.097	0.157	0.014	5.467	8.834	9.2183e-08	TAF4B
AT5G43140	0.211	0.151	0.271	0.028	3.284	7.423	9.9656e-07	AT5G43140
AT5G43150	0.13	0.097	0.163	0.016	5.334	8.207	2.5725e-07	AT5G43150
AT5G43170	0.139	0.1	0.178	0.018	4.993	7.56	7.8194e-07	AZF3
AT5G43190	0.35	0.239	0.461	0.052	1.98	6.668	3.9605e-06	AT5G43190
AT5G43260	0.083	0.065	0.102	0.009	8.301	9.688	2.4595e-08	AT5G43260
AT5G43280	0.204	0.133	0.275	0.034	3.395	6.053	1.2922e-05	ATDCI1
AT5G43310	0.334	0.252	0.417	0.039	2.074	8.549	1.461e-07	AT5G43310
AT5G43320	0.153	0.106	0.199	0.022	4.533	6.939	2.3937e-06	ckl8
AT5G43330	0.08	0.06	0.1	0.009	8.69	8.444	1.7349e-07	MDH2
AT5G43340	1.148	0.959	1.336	0.089	0.604	12.854	3.4916e-10	PHT1-6
AT5G43430	0.052	0.032	0.073	0.01	13.274	5.326	5.5719e-05	ETFB
AT5G43460	0.046	0.034	0.058	0.006	15.143	8.203	2.5892e-07	AT5G43460
AT5G43500	0.286	0.218	0.355	0.032	2.42	8.827	9.3221e-08	ARP9
AT5G43530	0.142	0.094	0.189	0.023	4.892	6.293	8.0923e-06	AT5G43530
AT5G43560	0.309	0.226	0.392	0.039	2.242	7.88	4.4832e-07	AT5G43560
AT5G43600	0.055	0.033	0.077	0.01	12.582	5.375	5.044e-05	UAH
AT5G43670	0.616	0.488	0.745	0.061	1.125	10.123	1.2934e-08	AT5G43670
AT5G43680	0.52	0.304	0.735	0.102	1.334	5.08	9.2746e-05	AT5G43680
AT5G43710	0.136	0.104	0.168	0.015	5.09	9.022	6.8489e-08	MNS4
AT5G43720	0.123	0.086	0.16	0.018	5.63	6.992	2.1715e-06	AT5G43720
AT5G43750	0.22	0.164	0.277	0.027	3.145	8.243	2.4225e-07	PNSB5
AT5G43760	0.18	0.121	0.238	0.028	3.861	6.487	5.5769e-06	KCS19
AT5G43780	0.043	0.028	0.057	0.007	16.226	6.262	8.6034e-06	APS4
AT5G43790	0.871	0.5	1.242	0.176	0.796	4.956	0.00012012	PCMP-E30
AT5G43810	0.275	0.203	0.348	0.034	2.517	8.052	3.3429e-07	AGO10
AT5G43820	0.082	0.036	0.129	0.022	8.412	3.787	0.0016168	AT5G43820
AT5G43830	0.05	0.038	0.063	0.006	13.798	8.444	1.7365e-07	AT5G43830
AT5G43850	0.069	0.047	0.091	0.01	10.063	6.607	4.4483e-06	ARD4
AT5G43870	0.252	0.176	0.329	0.036	2.746	6.947	2.3553e-06	AT5G43870
AT5G43880	0.194	0.144	0.243	0.023	3.578	8.272	2.308e-07	AT5G43880
AT5G43900	0.281	0.229	0.333	0.024	2.465	11.479	2e-09	XI-2
AT5G43910	0.121	0.006	0.237	0.054	5.709	2.234	0.040134	AT5G43910
AT5G43920	0.328	0.241	0.415	0.041	2.113	7.982	3.7646e-07	AT5G43920
AT5G43930	0.173	0.124	0.222	0.023	4.002	7.461	9.317e-07	AT5G43930
AT5G43940	0.075	0.052	0.097	0.011	9.289	6.89	2.6175e-06	ADH2
AT5G43960	0.378	0.288	0.468	0.043	1.834	8.892	8.4106e-08	AT5G43960
AT5G43970	0.119	0.084	0.154	0.017	5.832	7.192	1.5063e-06	TOM9-2
AT5G43980	0.901	0.705	1.098	0.093	0.769	9.687	2.4609e-08	CRRSP56
AT5G43990	0.34	0.221	0.459	0.056	2.038	6.034	1.3414e-05	SUVR2
AT5G44000	0.277	0.208	0.347	0.033	2.5	8.387	1.9066e-07	AT5G44000
AT5G44010	0.63	0.339	0.921	0.138	1.1	4.573	0.00027016	AT5G44010
AT5G44050	0.108	0.078	0.138	0.014	6.431	7.525	8.3179e-07	AT5G44050
AT5G44060	0.426	0.334	0.517	0.043	1.628	9.811	2.0457e-08	AT5G44060
AT5G44070	0.09	0.063	0.117	0.013	7.679	6.992	2.1718e-06	PCS1
AT5G44080	0.501	0.346	0.655	0.073	1.384	6.839	2.8788e-06	AT5G44080
AT5G44090	0.168	0.12	0.217	0.023	4.114	7.341	1.1518e-06	B''ALPHA
AT5G44110	0.175	0.135	0.215	0.019	3.969	9.22	5.0249e-08	ABCI21
AT5G44130	0.026	0	0.051	0.012	26.854	2.149	0.047244	FLA13
AT5G44150	0.791	0.642	0.941	0.071	0.876	11.16	3e-09	AT5G44150
AT5G44170	0.433	0.325	0.542	0.051	1.599	8.449	1.7228e-07	AT5G44170
AT5G44180	0.563	0.473	0.654	0.043	1.23	13.119	2.5429e-10	AT5G44180
AT5G44200	0.117	0.081	0.153	0.017	5.941	6.842	2.8638e-06	CBP20
AT5G44240	0.483	0.357	0.609	0.06	1.436	8.072	3.23e-07	ALA2
AT5G44250	0.439	0.336	0.541	0.048	1.581	9.048	6.5733e-08	AT5G44250
AT5G44280	0.422	0.326	0.519	0.046	1.642	9.248	4.8111e-08	RING1A
AT5G44290	0.19	0.122	0.259	0.032	3.639	5.909	1.7159e-05	AT5G44290
AT5G44320	0.118	0.089	0.147	0.014	5.869	8.64	1.26e-07	AT5G44320
AT5G44340	0.049	0.035	0.062	0.006	14.195	7.574	7.6254e-07	TUBB4
AT5G44350	0.269	0.079	0.46	0.09	2.572	3	0.0084873	AT5G44350
AT5G44370	1.208	0.948	1.468	0.123	0.574	9.799	2.0818e-08	ANTR5
AT5G44420	0.095	0.045	0.144	0.024	7.326	4.012	0.00090404	PDF1.2A
AT5G44450	0.24	0.152	0.329	0.042	2.886	5.72	2.5035e-05	AT5G44450
AT5G44480	0.374	0.24	0.509	0.064	1.852	5.877	1.8289e-05	DUR
AT5G44500	0.173	0.111	0.235	0.029	4.007	5.911	1.7091e-05	AT5G44500
AT5G44520	0.179	0.109	0.249	0.033	3.878	5.4	4.7833e-05	RPI4
AT5G44560	0.08	0.045	0.116	0.017	8.617	4.804	0.00016529	VPS2.2
AT5G44610	0.015	-0.011	0.041	0.012	45.646	1.242	0.2323	PCAP2
AT5G44650	0.483	0.354	0.612	0.061	1.435	7.899	4.3359e-07	CEST
AT5G44670	0.16	0.124	0.195	0.017	4.336	9.505	3.2433e-08	AT5G44670
AT5G44710	0.046	0.031	0.062	0.007	14.95	6.462	5.8533e-06	AT5G44710
AT5G44720	0.082	0.058	0.106	0.011	8.485	7.217	1.44e-06	AT5G44720
AT5G44730	0.962	0.777	1.146	0.088	0.721	10.973	3.9063e-09	AT5G44730
AT5G44740	0.299	0.218	0.38	0.038	2.315	7.809	5.06e-07	POLH
AT5G44750	0.242	0.178	0.307	0.031	2.86	7.916	4.2151e-07	REV1
AT5G44785	0.06	0.045	0.075	0.007	11.571	8.457	1.6981e-07	OSB3
AT5G44790	0.217	0.131	0.304	0.041	3.188	5.315	5.6979e-05	RAN1
AT5G44800	0.218	0.175	0.262	0.021	3.176	10.594	6.6033e-09	CHR4
AT5G44820	0.459	0.346	0.572	0.054	1.511	8.552	1.454e-07	AT5G44820
AT5G44820	0.305	0.162	0.449	0.068	2.27	4.501	0.00031513	AT5G44820
AT5G44860	0.31	0.224	0.396	0.041	2.233	7.619	7.0523e-07	AT5G44860
AT5G44870	0.619	0.492	0.745	0.06	1.121	10.287	1.0217e-08	LAZ5
AT5G44980	0.601	0.391	0.812	0.1	1.152	6.017	1.388e-05	AT5G44980
AT5G45010	0.102	0.072	0.131	0.014	6.829	7.298	1.245e-06	ATDSS1(V)
AT5G45020	0.048	0.011	0.085	0.018	14.54	2.72	0.014561	AT5G45020
AT5G45050	0.272	0.209	0.335	0.03	2.55	9.121	5.8573e-08	WRKY16
AT5G45110	0.309	0.2	0.418	0.052	2.241	5.976	1.5032e-05	NPR3
AT5G45130	0.04	0.026	0.055	0.007	17.125	5.867	1.865e-05	RABF2A
AT5G45140	0.12	0.098	0.141	0.01	5.794	11.612	1.6607e-09	NRPC2
AT5G45160	0.164	0.131	0.196	0.015	4.237	10.64	6.1941e-09	AT5G45160
AT5G45170	0.085	0.061	0.11	0.012	8.148	7.335	1.1653e-06	AT5G45170
AT5G45190	0.204	0.145	0.262	0.028	3.401	7.338	1.1591e-06	CYCT1-5
AT5G45210	0.906	0.669	1.144	0.113	0.765	8.049	3.3556e-07	AT5G45210
AT5G45220	0.825	0.692	0.958	0.063	0.84	13.082	2.6582e-10	AT5G45220
AT5G45250	0.285	0.143	0.426	0.067	2.436	4.24	0.00055237	RPS4
AT5G45260	0.605	0.435	0.775	0.08	1.146	7.527	8.2824e-07	RRS1
AT5G45270	0.426	0.298	0.554	0.061	1.627	7.014	2.0843e-06	AT5G45270
AT5G45280	0.034	0.015	0.053	0.009	20.462	3.83	0.0013412	PAE11
AT5G45300	0.439	0.364	0.513	0.035	1.58	12.404	6.0517e-10	BAM8
AT5G45340	0.251	0.008	0.494	0.115	2.763	2.187	0.043912	CYP707A3
AT5G45350	0.028	0.016	0.039	0.005	24.835	5.139	8.1936e-05	AT5G45350
AT5G45360	0.13	0.092	0.169	0.018	5.317	7.196	1.4951e-06	SKIP31
AT5G45370	0.131	0.083	0.179	0.023	5.304	5.752	2.347e-05	AT5G45370
AT5G45390	0.063	0.05	0.077	0.006	10.963	9.916	1.7527e-08	CLPP4
AT5G45410	0.056	0.041	0.072	0.007	12.28	7.674	6.4e-07	AT5G45410
AT5G45420	0.167	0.09	0.244	0.037	4.149	4.57	0.00027195	AT5G45420
AT5G45430	0.463	0.304	0.622	0.075	1.497	6.152	1.065e-05	AT5G45430
AT5G45480	0.189	0.134	0.244	0.026	3.667	7.228	1.412e-06	AT5G45480
AT5G45510	0.111	0.094	0.127	0.008	6.251	14.248	6.9832e-11	AT5G45510
AT5G45550	0.045	0.03	0.059	0.007	15.544	6.51	5.3391e-06	MOB1A
AT5G45560	0.678	0.476	0.881	0.096	1.022	7.068	1.8866e-06	EDR2L
AT5G45590	0.26	0.157	0.362	0.049	2.669	5.351	5.2887e-05	AT5G45590
AT5G45600	0.983	0.802	1.164	0.086	0.705	11.443	2.0745e-09	TAF14B
AT5G45610	0.572	0.388	0.756	0.087	1.212	6.572	4.7448e-06	SUV2
AT5G45620	0.064	0.049	0.079	0.007	10.877	8.927	7.9528e-08	RPN9A
