"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"256989_at"	5.41495881293977	6.56205615119566	28.8512472801221	2.04276670817598e-13	2.58863936741634e-11	21.2840737324569
"266017_at"	5.96017668586778	9.38720139157464	28.7319997075737	2.15709346117378e-13	2.71841446681624e-11	21.2299768922975
"247426_at"	4.42090351440318	9.73118491506393	28.6577261555239	2.23176111519804e-13	2.79705884822348e-11	21.1961558880197
"251400_at"	5.58762250123964	9.52138696168803	28.5438582406853	2.35167408073843e-13	2.9312396601991e-11	21.1441152374271
"253997_at"	4.25379513320873	6.41035905224784	28.5211643409527	2.37638947985871e-13	2.9459480454118e-11	21.1337159069639
"247215_at"	5.42753549228247	7.10946283726112	28.4633102535679	2.4406677638789e-13	3.00927738886907e-11	21.1071629524914
"249918_at"	4.0927720665845	10.4263252125939	28.266353343203	2.67387371471043e-13	3.27908921680349e-11	21.0163150419482
"253377_at"	4.05332575369877	10.0100384760894	28.2419848801291	2.70435052254984e-13	3.2987291668108e-11	21.0050260621155
"264646_at"	5.25663641040906	7.2808783026609	28.2215867785908	2.73014856119848e-13	3.31248344047539e-11	20.9955680881542
"251190_at"	3.19716846850495	7.35597602543668	28.2080006592665	2.74747783958364e-13	3.31587140322238e-11	20.9892644137522
"252557_at"	4.39394394532062	6.70333229924784	28.1296282865348	2.84977662727555e-13	3.42123183516607e-11	20.9528354403037
"266800_at"	6.13306074607314	8.84379581738396	28.074905336949	2.92362719141447e-13	3.4915149861866e-11	20.9273324260609
"265327_at"	4.15773535718306	7.89918285600357	28.024844673867	2.99298753912125e-13	3.55573155038311e-11	20.9039539590796
"250098_at"	4.51782028826115	7.6482226669415	27.978242624723	3.05914563945492e-13	3.59773084025074e-11	20.8821490960199
"262384_at"	3.8020217845408	6.71782857042334	27.9777279057711	3.0598850636065e-13	3.59773084025074e-11	20.8819080373113
"261110_at"	3.33198992180094	8.49664044806367	27.9549855232821	3.09274816968169e-13	3.60126623352958e-11	20.8712521808755
"248448_at"	7.31120914947237	9.67507348238006	27.9370130574106	3.11898673423647e-13	3.60126623352958e-11	20.8628244662109
"264107_s_at"	3.58561964581146	9.81963438076132	27.9293395047602	3.13026231615898e-13	3.60126623352958e-11	20.8592243292189
"254660_at"	5.50588614764181	6.64689241659396	27.924387055951	3.13756271969292e-13	3.60126623352958e-11	20.8569002491875
"250676_at"	4.69491294547422	10.6754909509052	27.9167191704076	3.14890203669322e-13	3.60126623352958e-11	20.8533009726781
"259033_at"	6.15661321966583	9.11136295401597	27.9108436640329	3.15762054671599e-13	3.60126623352958e-11	20.8505422925209
"247253_at"	3.87285564289703	6.34519988948495	27.7900859578758	3.34267241281229e-13	3.78466985085992e-11	20.7937013235915
"260227_at"	4.17771582786595	9.63586488056928	27.7844336480756	3.3516146859873e-13	3.78466985085992e-11	20.791034086568
"255177_at"	5.50525630392523	7.55637567665605	27.7649496633354	3.38263685749483e-13	3.78991653190648e-11	20.781835304152
"259792_at"	4.02667429835508	9.00045218288365	27.7606704789478	3.38949133059588e-13	3.78991653190648e-11	20.7798140605411
"255504_at"	3.97545282112858	10.5848431737884	27.7472350408786	3.41110954834078e-13	3.79548335598309e-11	20.7734656874469
"261220_at"	3.33485478932923	8.72947286983534	27.7180865774714	3.45852142331924e-13	3.82955697407339e-11	20.7596810893688
"255894_at"	2.8507959907267	8.96772462136016	27.6970759759822	3.49313516392612e-13	3.84919869995916e-11	20.749735045004
"262228_at"	4.627673288661	7.35036236481815	27.6664564009738	3.544246811784e-13	3.8867437392689e-11	20.7352253736601
"258787_at"	5.29172968815606	7.18993480427356	27.6283447831659	3.60898902571175e-13	3.93074198743438e-11	20.7171407008355
